run_id,phase,variant,variant_name,margin_fraction,masked,subset,direction,train_event,eval_event,seed,train_count,eval_count,initialization_hash,class_weights,final_train_loss,final_train_accuracy,duration_seconds,macro_f1,weighted_f1,balanced_accuracy,multiclass_brier,ece_10bin,calibration_viable,precision_no_damage,recall_no_damage,f1_no_damage,support_no_damage,precision_minor_damage,recall_minor_damage,f1_minor_damage,support_minor_damage,precision_major_damage,recall_major_damage,f1_major_damage,support_major_damage,precision_destroyed,recall_destroyed,f1_destroyed,support_destroyed,equal_event_macro_f1,equal_event_weighted_f1,equal_event_balanced_accuracy,equal_event_precision_no_damage,equal_event_recall_no_damage,equal_event_f1_no_damage,equal_event_precision_minor_damage,equal_event_recall_minor_damage,equal_event_f1_minor_damage,equal_event_precision_major_damage,equal_event_recall_major_damage,equal_event_f1_major_damage,equal_event_precision_destroyed,equal_event_recall_destroyed,equal_event_f1_destroyed,equal_event_multiclass_brier,equal_event_ece_10bin
masked_building__train_30pct__current_two_to_new_two__seed17,tiebreak,masked_building,Masked building,,True,train_30pct,current_two_to_new_two,Hurricane Ian + Hurricane Ida,Hurricane Ian + Hurricane Ida,17,207,331,b661f72c3c6f0091ea32b0285784d3e1113c034c883ee5e3a2b893067c3d8d0d,"[0.6720778942108154, 0.71875, 1.361842155456543, 2.5875000953674316]",0.9593003495879795,0.5507246376811594,27.028754458,0.3427332430442062,0.3919494757363877,0.37737362637362637,0.6861103844883604,0.06799551547474011,True,0.5906040268456376,0.704,0.6423357664233577,125,0.3673469387755102,0.1978021978021978,0.2571428571428571,91,0.22123893805309736,0.5,0.3067484662576687,50,0.35,0.1076923076923077,0.16470588235294117,65,0.32686236670995844,0.3883934884613637,0.40767180982344914,0.5301690251572327,0.8287037037037037,0.5908963585434174,0.33639705882352944,0.1814207650273224,0.23564401738732554,0.3294334975369458,0.5285714285714286,0.34090909090909094,0.3125,0.09199134199134198,0.13999999999999999,0.6971953325232487,0.13609481474987145
masked_building__train_30pct__current_two_to_new_two__seed29,tiebreak,masked_building,Masked building,,True,train_30pct,current_two_to_new_two,Hurricane Ian + Hurricane Ida,Hurricane Ian + Hurricane Ida,29,207,331,689e222e575a39cd61916f69eb6e357486ad4d6b3c50905535444168698f2247,"[0.6720778942108154, 0.71875, 1.361842155456543, 2.5875000953674316]",1.002657355317747,0.5024154589371981,21.592370791000008,0.3530725824608803,0.4079006864328584,0.3671208791208791,0.679522510312008,0.04577432244205762,True,0.5668789808917197,0.712,0.6312056737588653,125,0.32,0.43956043956043955,0.37037037037037035,91,0.35294117647058826,0.24,0.28571428571428564,50,0.3333333333333333,0.07692307692307693,0.125,65,0.3272526268280985,0.38519157570810564,0.38238316894898383,0.5019049346879535,0.8085511982570806,0.5729110512129381,0.2991573033707865,0.4040983606557377,0.343030303030303,0.48333333333333334,0.24761904761904763,0.2803418803418803,0.3068181818181818,0.06926406926406926,0.11272727272727273,0.7020227751227482,0.14092436133787287
masked_building__train_30pct__current_two_to_new_two__seed43,tiebreak,masked_building,Masked building,,True,train_30pct,current_two_to_new_two,Hurricane Ian + Hurricane Ida,Hurricane Ian + Hurricane Ida,43,207,331,3346ddd19335fffbfefcc7f23cfcbb0107ba5af73d7577a0283a2bc68dc13921,"[0.6720778942108154, 0.71875, 1.361842155456543, 2.5875000953674316]",0.9472668369611105,0.5748792270531401,15.797947042000004,0.36771186761079394,0.40298247700535694,0.38173626373626374,0.7051320660690705,0.10015492388849175,True,0.686046511627907,0.472,0.5592417061611374,125,0.3050847457627119,0.5934065934065934,0.4029850746268657,91,0.43478260869565216,0.4,0.41666666666666663,50,0.18181818181818182,0.06153846153846154,0.09195402298850576,65,0.34011989761061323,0.39028257590000137,0.3777374992056766,0.6276467029643074,0.5953159041394336,0.5613965744400528,0.29778672032193154,0.5273224043715847,0.3705949223190602,0.3770833333333333,0.34285714285714286,0.3583126550868486,0.15384615384615385,0.045454545454545456,0.07017543859649122,0.7081847122656578,0.11813074687987266
masked_building__train_30pct__current_two_to_new_two__seed59,tiebreak,masked_building,Masked building,,True,train_30pct,current_two_to_new_two,Hurricane Ian + Hurricane Ida,Hurricane Ian + Hurricane Ida,59,207,331,78ff9897002a12ea5486afba7b60ce68df09b99a66715c36e2a3203e79461301,"[0.6720778942108154, 0.71875, 1.361842155456543, 2.5875000953674316]",0.8874067810998447,0.6038647342995169,13.658103792000006,0.3752845234661198,0.4208182732340487,0.3960879120879121,0.6831890067508192,0.080226178165649,True,0.6637931034482759,0.616,0.6390041493775934,125,0.38095238095238093,0.26373626373626374,0.3116883116883117,91,0.22608695652173913,0.52,0.3151515151515151,50,0.32432432432432434,0.18461538461538463,0.23529411764705882,65,0.35181948169534577,0.4090973791352869,0.3907328496889731,0.5759013282732448,0.6538671023965141,0.5867875647668395,0.3377659574468085,0.23060109289617486,0.2721417069243156,0.27900461437046803,0.5047619047619047,0.3286516853932584,0.30454545454545456,0.1737012987012987,0.21969696969696972,0.6936226843130724,0.13002729720084352
masked_building__train_30pct__current_two_to_new_two__seed71,tiebreak,masked_building,Masked building,,True,train_30pct,current_two_to_new_two,Hurricane Ian + Hurricane Ida,Hurricane Ian + Hurricane Ida,71,207,331,4f642628529ab8b258d154064f01bf4d081fa27f8d190f03ba1b18f9abe8d5fd,"[0.6720778942108154, 0.71875, 1.361842155456543, 2.5875000953674316]",0.9597622697480059,0.5797101449275363,13.349939957999993,0.33395189232540423,0.36673467015825395,0.3471538461538462,0.7148667028542676,0.11767095174314031,True,0.6515151515151515,0.344,0.45026178010471196,125,0.32941176470588235,0.6153846153846154,0.42911877394636017,91,0.22413793103448276,0.26,0.24074074074074073,50,0.2972972972972973,0.16923076923076924,0.21568627450980393,65,0.3290157249146104,0.37425319090756143,0.35197570251813265,0.6174812030075187,0.47167755991285404,0.4636225266362252,0.3278846153846154,0.5691256830601092,0.4108451757666417,0.3131578947368421,0.20476190476190476,0.23704974271012005,0.28181818181818186,0.16233766233766234,0.20454545454545456,0.710947137717502,0.13259890447306463
margin_0__train_30pct__current_two_to_new_two__seed17,tiebreak,margin_0,0%,0.0,False,train_30pct,current_two_to_new_two,Hurricane Ian + Hurricane Ida,Hurricane Ian + Hurricane Ida,17,207,331,b661f72c3c6f0091ea32b0285784d3e1113c034c883ee5e3a2b893067c3d8d0d,"[0.6720778942108154, 0.71875, 1.361842155456543, 2.5875000953674316]",0.999306549196658,0.5507246376811594,12.675088458000005,0.38422669740732585,0.4202921683074257,0.4208351648351649,0.6732383547412573,0.0811932060833784,True,0.6434108527131783,0.664,0.6535433070866143,125,0.4230769230769231,0.12087912087912088,0.18803418803418806,91,0.22950819672131148,0.56,0.32558139534883723,50,0.4074074074074074,0.3384615384615385,0.3697478991596639,65,0.36388920098055544,0.4084400492496443,0.4370258179443329,0.5695224719101124,0.7559912854030502,0.6083355597114614,0.22,0.09016393442622951,0.12790697674418605,0.27855477855477856,0.5523809523809524,0.33918606233836934,0.41666666666666663,0.3495670995670995,0.3801282051282051,0.6682597905263614,0.09814030725494334
margin_0__train_30pct__current_two_to_new_two__seed29,tiebreak,margin_0,0%,0.0,False,train_30pct,current_two_to_new_two,Hurricane Ian + Hurricane Ida,Hurricane Ian + Hurricane Ida,29,207,331,689e222e575a39cd61916f69eb6e357486ad4d6b3c50905535444168698f2247,"[0.6720778942108154, 0.71875, 1.361842155456543, 2.5875000953674316]",1.028213473909719,0.5458937198067633,13.513995292000004,0.4647731055042331,0.5030763117595156,0.4675164835164835,0.6333018546377688,0.09464570654843146,True,0.6692307692307692,0.696,0.6823529411764705,125,0.4264705882352941,0.31868131868131866,0.36477987421383645,91,0.24719101123595505,0.44,0.31654676258992803,50,0.6136363636363636,0.4153846153846154,0.49541284403669733,65,0.42626813074375236,0.4758660670352717,0.4658110267620875,0.5939983557138941,0.7992919389978214,0.6362681603360756,0.41428571428571426,0.2546448087431694,0.2748847926267281,0.28170478170478175,0.3904761904761904,0.30970149253731344,0.6,0.41883116883116883,0.48421807747489237,0.6392551665686493,0.13158562727649417
margin_0__train_30pct__current_two_to_new_two__seed43,tiebreak,margin_0,0%,0.0,False,train_30pct,current_two_to_new_two,Hurricane Ian + Hurricane Ida,Hurricane Ian + Hurricane Ida,43,207,331,3346ddd19335fffbfefcc7f23cfcbb0107ba5af73d7577a0283a2bc68dc13921,"[0.6720778942108154, 0.71875, 1.361842155456543, 2.5875000953674316]",1.0254580295028317,0.5507246376811594,12.802716082999979,0.43884996951484756,0.4797582907705397,0.47998901098901103,0.6374905962923443,0.03640004767391976,True,0.6298701298701299,0.776,0.6953405017921147,125,0.5319148936170213,0.27472527472527475,0.36231884057971014,91,0.30973451327433627,0.7,0.42944785276073616,50,0.6470588235294118,0.16923076923076924,0.2682926829268293,65,0.41100700456350603,0.4686490041424439,0.48155345181622905,0.5471491228070176,0.8208061002178649,0.6325272641062114,0.5174418604651163,0.22185792349726774,0.27997737556561086,0.3314285714285714,0.6714285714285715,0.4212669683257918,0.6388888888888888,0.2121212121212121,0.31025641025641026,0.6378134832406809,0.07154741721157015
margin_0__train_30pct__current_two_to_new_two__seed59,tiebreak,margin_0,0%,0.0,False,train_30pct,current_two_to_new_two,Hurricane Ian + Hurricane Ida,Hurricane Ian + Hurricane Ida,59,207,331,78ff9897002a12ea5486afba7b60ce68df09b99a66715c36e2a3203e79461301,"[0.6720778942108154, 0.71875, 1.361842155456543, 2.5875000953674316]",0.9405909937936903,0.5555555555555556,13.795004000000006,0.39595555727111,0.43476199041834257,0.44365934065934065,0.655574731039852,0.07984797255870439,True,0.6223776223776224,0.712,0.664179104477612,125,0.41304347826086957,0.2087912087912088,0.2773722627737227,91,0.28688524590163933,0.7,0.40697674418604646,50,0.5,0.15384615384615385,0.23529411764705882,65,0.36564364787446463,0.4170928117282157,0.44906198528426106,0.5341662417134115,0.7342047930283224,0.5958809276566287,0.4545454545454546,0.16420765027322404,0.20267857142857143,0.30934065934065935,0.7095238095238094,0.40527383367139963,0.5,0.18831168831168832,0.25874125874125875,0.6581250516993258,0.09289032807077163
margin_0__train_30pct__current_two_to_new_two__seed71,tiebreak,margin_0,0%,0.0,False,train_30pct,current_two_to_new_two,Hurricane Ian + Hurricane Ida,Hurricane Ian + Hurricane Ida,71,207,331,4f642628529ab8b258d154064f01bf4d081fa27f8d190f03ba1b18f9abe8d5fd,"[0.6720778942108154, 0.71875, 1.361842155456543, 2.5875000953674316]",0.9960108039459744,0.5603864734299517,13.121223707999974,0.3225626352152977,0.3346515847515763,0.3537802197802198,0.7436771269278984,0.17084555017263867,True,0.7441860465116279,0.256,0.38095238095238093,125,0.3617021276595745,0.18681318681318682,0.24637681159420297,91,0.109375,0.28,0.15730337078651685,50,0.39823008849557523,0.6923076923076923,0.5056179775280899,65,0.3386264065726122,0.329662207129912,0.39401508657776735,0.7347826086956522,0.4455337690631809,0.4769960800495151,0.5037878787878788,0.15628415300546447,0.20346320346320346,0.15380116959064327,0.2761904761904762,0.1750815394651011,0.38983903420523136,0.698051948051948,0.4989648033126294,0.727551587168165,0.16929650476056107
