sample_id,building_id,record_index,role,official_source_split,event,orthomosaic,label,class_id,in_fixed_train_30pct,in_fixed_evaluation_30pct,polygon_min_x,polygon_min_y,polygon_max_x,polygon_max_y,orthomosaic_group,flight_group,sequence_group,exact_duplicate_group,perceptual_duplicate_group,exact_hash_sha256,phash64,polygon_alpha_invalid_fraction,selection_rank_within_orthomosaic_class,eligible_count_within_orthomosaic_class,selected_count_within_orthomosaic_class
00107ac31768b7fd3e20692b683b0e14,ad4261efb9b94599a2236e2c69ca2a65,296,evaluation,Train,Hurricane Ida,20210902-LA-DIV-01.geo.tif,destroyed,3,False,True,57207,12550,57797,13152,orthomosaic::20210902-LA-DIV-01.geo.tif,orthomosaic_surrogate::20210902-LA-DIV-01.geo.tif,orthomosaic_surrogate::20210902-LA-DIV-01.geo.tif,exact_group_0001,phash_group_0001,51f2fad541d4eb0d2afec8011d720b36e32cb938ff7e1c8ae64793d126baeeef,c1c1c38f0e9e7eb0,0.0,11,69,21
00420927d571ca18ce9e7371a2337e8f,bb380bff2c644f059eb9c59e5afa312d,107,evaluation,Train,Hurricane Ida,20210902-LA-DIV-01.geo.tif,destroyed,3,False,True,30910,39740,31681,40371,orthomosaic::20210902-LA-DIV-01.geo.tif,orthomosaic_surrogate::20210902-LA-DIV-01.geo.tif,orthomosaic_surrogate::20210902-LA-DIV-01.geo.tif,exact_group_0002,phash_group_0002,05e538ce0e6be96147a1f2921c5cb8dd8dbb87195c213353dd732e2360b1e40d,cad1712d272e593a,0.0,4,69,21
00b53f06983da9ada1ecd032c22ded12,b08f1291041a4d78b9ac34bd26c4bb0c,265,evaluation,Train,Hurricane Ian,1002-Ft-Myers-Beach-TFD.geo.tif,no damage,0,False,True,35127,29287,35892,30077,orthomosaic::1002-Ft-Myers-Beach-TFD.geo.tif,orthomosaic_surrogate::1002-Ft-Myers-Beach-TFD.geo.tif,orthomosaic_surrogate::1002-Ft-Myers-Beach-TFD.geo.tif,exact_group_0003,phash_group_0003,1b79fabf425c9a87744658cd523d14a1549f8b10e8eee5fe01677411bd21125c,952f785045866f5e,0.0,90,359,108
00bf8ec419a10b8be6200111570e5d32,5b807c9fbc8d448c9bf4daf0d1dc3e84,110,evaluation,Train,Hurricane Ian,1002-Ft-Myers-Beach-TFD.geo.tif,no damage,0,False,True,17591,11331,18241,11876,orthomosaic::1002-Ft-Myers-Beach-TFD.geo.tif,orthomosaic_surrogate::1002-Ft-Myers-Beach-TFD.geo.tif,orthomosaic_surrogate::1002-Ft-Myers-Beach-TFD.geo.tif,exact_group_0004,phash_group_0004,7f9efdb7bfdd60dc7b94e954ef7892a0ffaf1d38c8375ade5f4e72a0ac29b253,85ca78be6af53450,0.0,96,359,108
0171c79aee4d8db8b4ecf7fcf2e4e747,cac1e348f72b4cedbfaa27094e5359b5,257,train,Train,Hurricane Ian,1001-San-Carlos-Island.geo.tif,minor damage,1,True,False,26003,28376,26319,28834,orthomosaic::1001-San-Carlos-Island.geo.tif,orthomosaic_surrogate::1001-San-Carlos-Island.geo.tif,orthomosaic_surrogate::1001-San-Carlos-Island.geo.tif,exact_group_0005,phash_group_0005,84f43444398495195dd27eb516521cb4014b90bc6d400a0253c8136e177885b7,95686c3e613e3d62,0.0,,,
0266799dea4ffc776f1c5dcd3ae08620,03f662a30c95472ebb9b271ae9b0210d,220,train,Train,Hurricane Ian,1001-San-Carlos-Island.geo.tif,no damage,0,True,False,24754,12142,25262,12521,orthomosaic::1001-San-Carlos-Island.geo.tif,orthomosaic_surrogate::1001-San-Carlos-Island.geo.tif,orthomosaic_surrogate::1001-San-Carlos-Island.geo.tif,exact_group_0006,phash_group_0006,73b8cde42aaee76cc9bd871dfc384be52124030305e5c4f7a643ad904f3db785,b03d79c20f271e3a,0.0,,,
029b424d3a52b39168ef8cb9e8319e40,2360f39bdc0640c59431810b4bad7d36,678,evaluation,Train,Hurricane Ian,1002-Ft-Myers-Beach-TFD.geo.tif,no damage,0,False,True,7427,10836,8123,11409,orthomosaic::1002-Ft-Myers-Beach-TFD.geo.tif,orthomosaic_surrogate::1002-Ft-Myers-Beach-TFD.geo.tif,orthomosaic_surrogate::1002-Ft-Myers-Beach-TFD.geo.tif,exact_group_0007,phash_group_0007,c6e65275a978ee7ba6bb996240008343327a63650d39d70c9a5d824bf217f0a2,f7911746197e28b8,0.0,101,359,108
03a71b222d54242e4f93bcb0c4dc7447,eca5a6745d84402b9196d6ccaac6ead7,492,train,Train,Hurricane Ian,1001-San-Carlos-Island.geo.tif,no damage,0,True,False,8364,23516,9004,23939,orthomosaic::1001-San-Carlos-Island.geo.tif,orthomosaic_surrogate::1001-San-Carlos-Island.geo.tif,orthomosaic_surrogate::1001-San-Carlos-Island.geo.tif,exact_group_0008,phash_group_0008,0dd9fe62267c6dc59388224b2dae3fe1fe30d9896598cdc6486dce79dc52df15,80237f99399c8d4f,0.0,,,
03b4a62e4468082a42386d13a6699cb5,ef5b997fa774474dab192bcfc266d562,16,evaluation,Train,Hurricane Ida,20210902-LA-DIV-01.geo.tif,destroyed,3,False,True,15174,58014,15919,58674,orthomosaic::20210902-LA-DIV-01.geo.tif,orthomosaic_surrogate::20210902-LA-DIV-01.geo.tif,orthomosaic_surrogate::20210902-LA-DIV-01.geo.tif,exact_group_0009,phash_group_0009,2a07097825b5a20354747ec414c8a8bf3c59e2fc180ae78408c5bb6019588fae,a49f5bc522fe0703,0.0,14,69,21
03ca824f9480e146d9bc3fb1f9a85470,c462bf5c83fc477ba9c0967463fdf55e,528,evaluation,Train,Hurricane Ian,1002-Ft-Myers-Beach-TFD.geo.tif,destroyed,3,False,True,51196,46813,51633,47245,orthomosaic::1002-Ft-Myers-Beach-TFD.geo.tif,orthomosaic_surrogate::1002-Ft-Myers-Beach-TFD.geo.tif,orthomosaic_surrogate::1002-Ft-Myers-Beach-TFD.geo.tif,exact_group_0010,phash_group_0010,79c495136f5a14581124bbbc43e71a9a24bcbf55edd870fa58ed2d05d8e7ccf6,868d62fbd4635da0,0.0,4,148,44
